building,month,metric,label,n_episodes,mean,sd,cv,p5,p50,p95,range_p5_p95,rel_range
b1,APR2024,bl_peak_kw,building peak (kW),200,600.0,3.6041150505539086e-14,6.006858417589848e-17,600.0,600.0,600.0000000000001,1.1368683772161603e-13,1.8947806286936006e-16
b1,APR2024,bl_mean_kw,building mean (kW),200,365.57779267181576,11.79011967023806,0.03225064516110313,352.5257957086828,363.15885340021816,391.28006985012917,38.75427414144639,0.10600828310224149
b1,APR2024,bl_energy_mwh,building energy (MWh),200,263.21601072370737,8.488886162571404,0.03225064516110314,253.8185729102516,261.47437444815705,281.721650292093,27.9030773818414,0.10600828310224147
b1,APR2024,bl_load_factor,load factor,200,0.609296321119693,0.019650199450396765,0.032250645161103125,0.5875429928478046,0.6052647556670303,0.6521334497502154,0.06459045690241072,0.1060082831022416
b1,APR2024,pv_energy_mwh,PV energy (MWh),200,92.64510053281566,4.070631926137648,0.043937908240444905,85.79660486245196,92.76408966541152,99.37280255031823,13.57619768786627,0.14653983437642737
b1,APR2024,pv_capacity_factor,PV capacity factor,200,0.2144562512333696,0.009422759088281593,0.04393790824044491,0.1986032519964166,0.21473168904030443,0.23002963553314404,0.03142638353672744,0.1465398343764272
b1,APR2024,net_peak_kw,net peak (kW),200,431.47056169831427,17.867200346369152,0.04141001016626011,413.7541738701299,425.6338577142013,467.94253921029144,54.18836534016157,0.12558994784457686
b1,APR2024,net_min_kw,"net min (kW, <0 export)",200,-125.96043005825076,20.152808206626137,0.1599931676742165,-157.49236960529575,-125.22359188660255,-94.61310836099808,62.879261244297666,0.4991985277854241
b1,APR2024,wx_mean_temp_c,mean dry-bulb (degC),200,13.485014,2.5687356705644415,0.19048817231961654,9.716485,13.466849999999999,17.383345000000002,7.666860000000002,0.5685466844899087
b1,APR2024,wx_mean_ghi,mean GHI (W/m2),200,257.6065284333333,12.149673723670318,0.04716368718432757,237.817885,257.50659625000003,278.07942254166664,40.261537541666655,0.15629082766854663
b1,APR2024,n_sessions,EV sessions,200,398.235,33.05621487267625,0.0830068047074623,342.9,399.0,451.04999999999995,108.14999999999998,0.27157331726242034
b1,APR2024,ev_energy_mwh,EV energy (MWh),200,5.183814569731941,0.4931408669961377,0.09513088486528144,4.436974896962932,5.158586228528847,6.006323716394274,1.569348819431342,0.30274015366882506
b1,APR2024,arr_hour_mean,mean arrival hour,200,8.61821158163332,0.1741912295619407,0.020211992698481424,8.343629204976596,8.608058134524228,8.899119449110566,0.5554902441339706,0.0644553964441767
b1,APR2024,dwell_h_mean,mean dwell (h),200,6.9990300434366475,0.16614040703572597,0.023737633072674753,6.75264700674915,7.002737750007475,7.264591123575498,0.5119441168263474,0.07314500918686925
b1,APR2024,req_soc_mean,mean required SoC (%),200,56.626782543665,3.4265585788819477,0.060511270903299566,50.963319565713086,56.71439588229404,62.13729786796574,11.173978302252657,0.1973267383439344
b1,APR2024,peak_concurrency,peak concurrent EVs,200,18.41,1.5601507464853497,0.08474474451305539,16.0,18.0,21.0,5.0,0.27159152634437805
b1,AUG2024,bl_peak_kw,building peak (kW),200,600.0,3.8649828062067214e-14,6.441638010344536e-17,599.9999999999999,600.0,600.0000000000001,2.2737367544323206e-13,3.789561257387201e-16
b1,AUG2024,bl_mean_kw,building mean (kW),200,367.46463114102403,13.913711531104326,0.03786408364772549,339.50948448942074,369.5522465060252,385.1021012252272,45.59261673580647,0.1240734831927515
b1,AUG2024,bl_energy_mwh,building energy (MWh),200,273.39368556892185,10.351801379141621,0.0378640836477255,252.59505646012906,274.9468714004828,286.51596331156907,33.92090685144001,0.12407348319275148
b1,AUG2024,bl_load_factor,load factor,200,0.6124410519017067,0.023189519218507208,0.037864083647725484,0.5658491408157013,0.6159204108433753,0.6418368353753786,0.07598769455967735,0.12407348319275133
b1,AUG2024,pv_energy_mwh,PV energy (MWh),200,106.80808008800176,4.692563164763819,0.04393453342572494,98.85254944429875,106.89913111204291,114.57062510609094,15.718075661792199,0.14716185937282739
b1,AUG2024,pv_capacity_factor,PV capacity factor,200,0.23926541238351645,0.010512014257983463,0.043934533425724925,0.2214438831637517,0.23946937973127894,0.25665462613371626,0.03521074296996457,0.14716185937282725
b1,AUG2024,net_peak_kw,net peak (kW),200,398.79807099383174,21.773665194170995,0.05459822094903707,364.9939856262636,395.31845576060726,436.70838427556134,71.71439864929772,0.1798263428671573
b1,AUG2024,net_min_kw,"net min (kW, <0 export)",200,-168.86811044781112,24.924420765716217,0.1475969660560579,-206.47158873247474,-169.23268298154164,-124.04279289760638,82.42879583486837,0.48812529266941185
b1,AUG2024,wx_mean_temp_c,mean dry-bulb (degC),200,19.814409161290325,2.5687356705644415,0.1296397813154457,16.04588016129032,19.796245161290322,23.712740161290323,7.666860000000003,0.38693356625430325
b1,AUG2024,wx_mean_ghi,mean GHI (W/m2),200,298.6458788118279,14.085240807169654,0.04716368718432758,275.7047024193548,298.53002641129035,322.38031399865594,46.67561157930112,0.15629082766854682
b1,AUG2024,n_sessions,EV sessions,200,398.665,33.24271598153715,0.08338508768398818,345.8,396.5,454.04999999999995,108.24999999999994,0.271531235498476
b1,AUG2024,ev_energy_mwh,EV energy (MWh),200,5.17412773153129,0.4605408670306531,0.08900840700628691,4.395763482696379,5.1655578758510226,5.907522308939263,1.5117588262428834,0.29217655703205386
b1,AUG2024,arr_hour_mean,mean arrival hour,200,8.596029094106864,0.15419739876695895,0.017938212758338762,8.3622191056259,8.577665054667788,8.863340729783037,0.5011216241571361,0.05829687390200756
b1,AUG2024,dwell_h_mean,mean dwell (h),200,7.014069016017827,0.14383611382805173,0.020506800474813885,6.798952635856711,7.02888247592944,7.211116265228959,0.41216362937224815,0.058762414289195326
b1,AUG2024,req_soc_mean,mean required SoC (%),200,56.43866076718136,3.134083267639584,0.055530787319142565,51.355486002187135,56.31332876296354,61.69122769769476,10.335741695507622,0.18313229894210697
b1,AUG2024,peak_concurrency,peak concurrent EVs,200,18.34,1.560955769576084,0.08511209212519542,16.0,18.0,21.0,5.0,0.27262813522355506
b1,DEC2024,bl_peak_kw,building peak (kW),200,600.0,5.032872771129521e-14,8.388121285215869e-17,599.9999999999999,600.0,600.0000000000001,2.2737367544323206e-13,3.789561257387201e-16
b1,DEC2024,bl_mean_kw,building mean (kW),200,402.1956036006925,9.09393066740885,0.02261071624352582,386.972314839498,402.45240775735294,417.66612726232216,30.69381242282418,0.07631563385585285
b1,DEC2024,bl_energy_mwh,building energy (MWh),200,299.2335290789152,6.765884416552185,0.022610716243525827,287.9074022405865,299.42459137147057,310.7435986831677,22.836196442581183,0.07631563385585284
b1,DEC2024,bl_load_factor,load factor,200,0.6703260060011541,0.01515655111234809,0.02261071624352583,0.6449538580658299,0.6707540129289216,0.6961102121038703,0.05115635403804031,0.07631563385585287
b1,DEC2024,pv_energy_mwh,PV energy (MWh),200,44.0795332408357,2.016088815422715,0.04573752640272949,40.736911054208335,44.12997139133748,47.46372317651308,6.726812122304743,0.1526062466576429
b1,DEC2024,pv_capacity_factor,PV capacity factor,200,0.09874447410581474,0.00451632799153834,0.04573752640272948,0.09125652117878212,0.09885746279421477,0.10632554475025331,0.01506902357147119,0.15260624665764283
b1,DEC2024,net_peak_kw,net peak (kW),200,599.9280181886145,1.017976539054743,0.0016968311333888995,599.9999999999999,600.0,600.0000000000001,2.2737367544323206e-13,3.790015944408632e-16
b1,DEC2024,net_min_kw,"net min (kW, <0 export)",200,-0.47684887478337346,14.972666503739708,31.399185980131765,-24.117128582770743,-0.6868433148228235,26.43736268937714,50.554491272147885,106.017847468161
b1,DEC2024,wx_mean_temp_c,mean dry-bulb (degC),200,9.626102709677419,2.5687356705644415,0.26685105572185636,5.857573709677419,9.60793870967742,13.52443370967742,7.66686,0.7964656342480398
b1,DEC2024,wx_mean_ghi,mean GHI (W/m2),200,98.39354639784948,4.640602443264791,0.04716368718432755,90.83521774193548,98.35537701612904,106.21322654569893,15.37800880376345,0.15629082766854674
b1,DEC2024,n_sessions,EV sessions,200,399.105,33.73401687425264,0.0845241650048299,346.0,399.5,454.0,108.0,0.27060547976096516
b1,DEC2024,ev_energy_mwh,EV energy (MWh),200,5.184341341965371,0.5062350236735654,0.09764693145796086,4.372845077393685,5.175256712055605,6.054023901624649,1.6811788242309635,0.32428011840625304
b1,DEC2024,arr_hour_mean,mean arrival hour,200,8.598341298308876,0.17014640120244892,0.019788281867331014,8.319589001456588,8.586381550138666,8.892585013804913,0.5729960123483249,0.06664029636286034
b1,DEC2024,dwell_h_mean,mean dwell (h),200,7.017351687970825,0.16758240641688332,0.023881146886816834,6.751263260559429,7.002149733835168,7.290528707603635,0.5392654470442064,0.07684743062950908
b1,DEC2024,req_soc_mean,mean required SoC (%),200,56.314851209385395,3.25147078448681,0.05773735905644943,50.988344036914896,56.06567808809521,62.13451063026294,11.146166593348042,0.1979258819650478
b1,DEC2024,peak_concurrency,peak concurrent EVs,200,18.43,1.5088016476861037,0.08186661137743373,16.0,19.0,21.0,5.0,0.27129679869777534
b1,FEB2024,bl_peak_kw,building peak (kW),200,600.0,3.693118947787989e-14,6.155198246313315e-17,599.9999999999999,600.0,600.0,1.1368683772161603e-13,1.8947806286936006e-16
b1,FEB2024,bl_mean_kw,building mean (kW),200,301.2256626934404,13.720164061675364,0.045547792771024546,281.7332078110066,302.2191941170731,323.1934091527057,41.46020134169913,0.13763834386147067
b1,FEB2024,bl_energy_mwh,building energy (MWh),200,209.65306123463455,9.549234186926054,0.045547792771024546,196.08631263646058,210.34455910548286,224.94261277028318,28.8563001338226,0.1376383438614707
b1,FEB2024,bl_load_factor,load factor,200,0.502042771155734,0.022866940102792277,0.04554779277102455,0.4695553463516776,0.5036986568617885,0.5386556819211762,0.06910033556949857,0.13763834386147072
b1,FEB2024,pv_energy_mwh,PV energy (MWh),200,60.35083268704806,2.7173447829652813,0.0450258043175012,55.83364435275087,60.42136696039148,64.89869031232989,9.065045959579017,0.15020581416972684
b1,FEB2024,pv_capacity_factor,PV capacity factor,200,0.14451827750729898,0.006507051683345981,0.045025804317501215,0.13370125563398197,0.14468718141856196,0.15540874116937234,0.02170748553539037,0.15020581416972686
b1,FEB2024,net_peak_kw,net peak (kW),200,546.5197446628457,10.56847906968242,0.019337780881461538,528.1419255988085,550.5704752839279,558.1466757383874,30.00475013957896,0.05490149337255735
b1,FEB2024,net_min_kw,"net min (kW, <0 export)",200,-197.81369392238082,17.9685094693268,0.09083551857829104,-227.06999143721535,-198.17992950419637,-168.3121864557814,58.757804981433964,0.2970360838845144
b1,FEB2024,wx_mean_temp_c,mean dry-bulb (degC),200,10.513649057471264,2.5687356705644415,0.24432389330505883,6.745120057471264,10.495485057471264,14.411980057471263,7.666859999999999,0.7292292103426958
b1,FEB2024,wx_mean_ghi,mean GHI (W/m2),200,154.30921071839083,7.2777913439826705,0.04716368718432756,142.45559051724138,154.24935021551727,166.57270477729887,24.11711426005749,0.15629082766854677
b1,FEB2024,n_sessions,EV sessions,200,380.485,31.07342212911334,0.08166792942984175,329.0,379.5,430.04999999999995,101.04999999999995,0.26558208602178784
b1,FEB2024,ev_energy_mwh,EV energy (MWh),200,4.924414754015395,0.4658262510359893,0.09459525127450974,4.198285177121382,4.931991100289278,5.69670661628847,1.498421439167088,0.3042841665489827
b1,FEB2024,arr_hour_mean,mean arrival hour,200,8.59556038411246,0.15687159857478408,0.018250304990554952,8.345903890160184,8.592021617516947,8.870540071199096,0.5246361810389129,0.06103571583402755
b1,FEB2024,dwell_h_mean,mean dwell (h),200,7.02204876509825,0.16659736277762774,0.023724894023189936,6.752900612619336,7.027546727360508,7.2945096932158675,0.5416090805965315,0.077129780597437
b1,FEB2024,req_soc_mean,mean required SoC (%),200,56.75773021941599,3.4961032688237874,0.06159695349529361,51.53171221575472,56.53924590221645,63.23573699934385,11.704024783589126,0.20621023318485965
b1,FEB2024,peak_concurrency,peak concurrent EVs,200,18.405,1.5371366057457674,0.08351733799216339,16.0,18.0,21.0,5.0,0.2716653083401249
b1,JAN2024,bl_peak_kw,building peak (kW),200,600.0,3.948110226064496e-14,6.580183710107493e-17,599.9999999999999,600.0,600.0000000000001,2.2737367544323206e-13,3.789561257387201e-16
b1,JAN2024,bl_mean_kw,building mean (kW),200,318.9365035992069,17.5019842987301,0.054876077530228565,284.1222777326746,322.4010796722165,339.0634882838777,54.941210551203085,0.17226378897112768
b1,JAN2024,bl_energy_mwh,building energy (MWh),200,237.28875867780997,13.021476318255198,0.05487607753022857,211.38697463310993,239.86640327612906,252.263235283205,40.87626065009508,0.1722637889711276
b1,JAN2024,bl_load_factor,load factor,200,0.5315608393320116,0.029169973831216837,0.054876077530228565,0.47353712955445776,0.5373351327870274,0.5651058138064629,0.0915686842520051,0.17226378897112757
b1,JAN2024,pv_energy_mwh,PV energy (MWh),200,50.24888158072181,2.285607434647878,0.045485737448229306,46.45753168134558,50.306731001447304,54.08310343541019,7.625571754064609,0.1517560493722549
b1,JAN2024,pv_capacity_factor,PV capacity factor,200,0.11256469888154527,0.005120088339264959,0.045485737448229306,0.10407153154423293,0.11269428987779415,0.12115390554527371,0.017082374001040776,0.1517560493722548
b1,JAN2024,net_peak_kw,net peak (kW),200,586.2533195277698,15.849203754168148,0.0270347360539208,549.1865153203272,591.5250650334367,600.0,50.8134846796728,0.08667496283109037
