building,month,metric,label,n_episodes,mean,sd,cv,p5,p50,p95,range_p5_p95,rel_range
b1,APR2024,bl_peak_kw,building peak (kW),200,600.0,3.512856819277971e-14,5.854761365463285e-17,600.0,600.0,600.0000000000001,1.1368683772161603e-13,1.8947806286936006e-16
b1,APR2024,bl_mean_kw,building mean (kW),200,371.7839378734514,20.77357401768743,0.05587539401650639,348.8525377123043,365.0190657124035,413.54777175485344,64.69523404254915,0.174012988330255
b1,APR2024,bl_energy_mwh,building energy (MWh),200,267.684435268885,14.956973292734949,0.05587539401650639,251.17382715285908,262.8137273129305,297.7543956634945,46.58056851063543,0.17401298833025516
b1,APR2024,bl_load_factor,load factor,200,0.6196398964557523,0.03462262336281239,0.0558753940165064,0.5814208961871739,0.6083651095206725,0.689246286258089,0.10782539007091518,0.1740129883302549
b1,APR2024,pv_energy_mwh,PV energy (MWh),200,92.1429686378485,7.987714158473823,0.0866882658173095,78.64322280432593,92.50989678665769,104.86025697573164,26.217034171405714,0.2845256079652381
b1,APR2024,pv_capacity_factor,PV capacity factor,200,0.2132939088839086,0.018490079070541256,0.08668826581730948,0.18204449723223595,0.21414327959874468,0.24273207633271218,0.06068757910047623,0.2845256079652383
b1,APR2024,net_peak_kw,net peak (kW),200,443.5136438863154,31.980784041112326,0.07210777950567372,407.5017769226598,433.328365392886,505.54555611005503,98.04377918739522,0.22106147249108418
b1,APR2024,net_min_kw,"net min (kW, <0 export)",200,-123.57948318338717,40.51486362497927,0.32784457890034047,-183.6438928264135,-126.06371042517216,-50.54733344414576,133.09655938226774,1.0770117818404985
b1,APR2024,wx_mean_temp_c,mean dry-bulb (degC),200,13.212057999999999,5.116111727137983,0.38723049256504805,5.6816249999999995,13.182500000000001,21.015439999999998,15.333814999999998,1.1605924678804769
b1,APR2024,wx_mean_ghi,mean GHI (W/m2),200,256.32074297083335,24.3018182926334,0.0948101898073801,216.76740358333333,256.12152583333335,297.2671784166667,80.49977483333336,0.31405876052135745
b1,APR2024,n_sessions,EV sessions,200,398.235,33.05621487267625,0.0830068047074623,342.9,399.0,451.04999999999995,108.14999999999998,0.27157331726242034
b1,APR2024,ev_energy_mwh,EV energy (MWh),200,5.183814569731941,0.4931408669961377,0.09513088486528144,4.436974896962932,5.158586228528847,6.006323716394274,1.569348819431342,0.30274015366882506
b1,APR2024,arr_hour_mean,mean arrival hour,200,8.61821158163332,0.1741912295619407,0.020211992698481424,8.343629204976596,8.608058134524228,8.899119449110566,0.5554902441339706,0.0644553964441767
b1,APR2024,dwell_h_mean,mean dwell (h),200,6.9990300434366475,0.16614040703572597,0.023737633072674753,6.75264700674915,7.002737750007475,7.264591123575498,0.5119441168263474,0.07314500918686925
b1,APR2024,req_soc_mean,mean required SoC (%),200,56.626782543665,3.4265585788819477,0.060511270903299566,50.963319565713086,56.71439588229404,62.13729786796574,11.173978302252657,0.1973267383439344
b1,APR2024,peak_concurrency,peak concurrent EVs,200,18.41,1.5601507464853497,0.08474474451305539,16.0,18.0,21.0,5.0,0.27159152634437805
b1,AUG2024,bl_peak_kw,building peak (kW),200,600.0,3.419163752712976e-14,5.698606254521627e-17,600.0,600.0,600.0,0.0,0.0
b1,AUG2024,bl_mean_kw,building mean (kW),200,366.6768102235944,15.43246616901264,0.042087379781672415,339.6508104667028,368.7375348234238,389.60144075159087,49.950630284888064,0.13622522311795193
b1,AUG2024,bl_energy_mwh,building energy (MWh),200,272.8075468063542,11.481754829745407,0.04208737978167243,252.70020298722687,274.3407259086273,289.8634719191836,37.163268931956736,0.13622522311795202
b1,AUG2024,bl_load_factor,load factor,200,0.611128017039324,0.025720776948354413,0.042087379781672436,0.5660846841111713,0.6145625580390397,0.6493357345859848,0.08325105047481351,0.13622522311795207
b1,AUG2024,pv_energy_mwh,PV energy (MWh),200,106.29844509157418,9.274752818294985,0.08725200834598243,90.71145484551077,106.58001154047913,121.25809663676444,30.546641791253663,0.2873667791183426
