,bl_peak_kw,bl_mean_kw,bl_energy_mwh,bl_load_factor,pv_energy_mwh,pv_capacity_factor,net_peak_kw,net_min_kw,wx_mean_temp_c,wx_mean_ghi,n_sessions,ev_energy_mwh,arr_hour_mean,dwell_h_mean,req_soc_mean,peak_concurrency
bl_peak_kw,1.0,0.9844981767750572,0.9830776719861488,0.7537616839074098,0.8824012375463838,0.0016621820163872584,0.9621775356329745,-0.6265864377395711,-0.015270469262153185,0.0003706679166256552,0.9169249629236882,0.9059772132045578,-0.08964996812278121,0.06675873441773798,-0.022267310838760466,0.9088088653509233
bl_mean_kw,0.9844981767750572,1.0,0.9993473768157073,0.827407357496367,0.8633397580709024,-0.016945303885321707,0.9604766015682101,-0.5521104635948099,-0.029278261966972474,-0.017046632308216125,0.9129956806240221,0.9021745545115878,-0.09022138379624409,0.06583758895987156,-0.023686749423067272,0.9035595329706904
bl_energy_mwh,0.9830776719861488,0.9993473768157073,1.0,0.8284131963001965,0.8646300495679341,-0.012831398730610068,0.9571069945515305,-0.5502796043112493,-0.024874619791545028,-0.013238214578722114,0.915290044825886,0.9044310206335608,-0.09040076696595385,0.06585153839921007,-0.024414863942560528,0.9030768244618466
bl_load_factor,0.7537616839074098,0.827407357496367,0.8284131963001965,1.0,0.6431909254803662,-0.03874463320615388,0.7542975801291635,-0.15171953085541584,-0.02862357983819491,-0.03518902351407915,0.7156449392949129,0.7061444819203897,-0.036530778495330804,0.029679895575950917,-0.014675560199089515,0.7063670636231582
pv_energy_mwh,0.8824012375463838,0.8633397580709024,0.8646300495679341,0.6431909254803662,1.0,0.4301614941851762,0.7421674500698918,-0.7901614828362179,0.2753646092474471,0.4283649825029131,0.8220966963809113,0.813380944759342,-0.09182822387869809,0.06904771360019032,-0.02249958862586734,0.8162986585968788
pv_capacity_factor,0.0016621820163872584,-0.016945303885321707,-0.012831398730610068,-0.03874463320615388,0.4301614941851762,1.0,-0.22982351167996876,-0.4338177114823224,0.6451866630951816,0.998326563817196,5.052561823952445e-05,0.0008168808581890293,-0.005193295411536393,0.010122964002697375,-0.000845319386884235,0.00439766238611273
net_peak_kw,0.9621775356329745,0.9604766015682101,0.9571069945515305,0.7542975801291635,0.7421674500698918,-0.22982351167996876,1.0,-0.4948976281084658,-0.1584542741651484,-0.2295209429061339,0.8866018528077284,0.8757200772940792,-0.08870569114085115,0.06367491118190188,-0.019775329913131575,0.8829490377753002
net_min_kw,-0.6265864377395711,-0.5521104635948099,-0.5502796043112493,-0.15171953085541584,-0.7901614828362179,-0.4338177114823224,-0.4948976281084658,1.0,-0.2564089177130385,-0.42715708987889756,-0.5714556420161095,-0.5665193648116655,0.10015305750879747,-0.07221189887775865,0.012420260306285175,-0.5770314137955335
wx_mean_temp_c,-0.015270469262153185,-0.029278261966972474,-0.024874619791545028,-0.02862357983819491,0.2753646092474471,0.6451866630951816,-0.1584542741651484,-0.2564089177130385,1.0,0.674069326060764,-0.00860852933922988,-0.007462664833253939,0.0040551280163188255,0.003049588077028702,-0.007407642636974765,-0.008717416246613015
wx_mean_ghi,0.0003706679166256552,-0.017046632308216125,-0.013238214578722114,-0.03518902351407915,0.4283649825029131,0.998326563817196,-0.2295209429061339,-0.42715708987889756,0.674069326060764,1.0,-0.0021756115491317644,-0.0013192167232091102,-0.0047721349123806,0.010109746408894279,-0.001213215679169038,0.003452347257333833
n_sessions,0.9169249629236882,0.9129956806240221,0.915290044825886,0.7156449392949129,0.8220966963809113,5.052561823952445e-05,0.8866018528077284,-0.5714556420161095,-0.00860852933922988,-0.0021756115491317644,1.0,0.9882985964041645,-0.14950553711387674,0.09743124103381572,-0.041744189390710146,0.9576087922674185
ev_energy_mwh,0.9059772132045578,0.9021745545115878,0.9044310206335608,0.7061444819203897,0.813380944759342,0.0008168808581890293,0.8757200772940792,-0.5665193648116655,-0.007462664833253939,-0.0013192167232091102,0.9882985964041645,1.0,-0.15432004778931016,0.10160068477579132,-0.09960712161910959,0.9467123533942645
arr_hour_mean,-0.08964996812278121,-0.09022138379624409,-0.09040076696595385,-0.036530778495330804,-0.09182822387869809,-0.005193295411536393,-0.08870569114085115,0.10015305750879747,0.0040551280163188255,-0.0047721349123806,-0.14950553711387674,-0.15432004778931016,1.0,-0.5606613918172412,0.0439469539925076,-0.18745589657508394
dwell_h_mean,0.06675873441773798,0.06583758895987156,0.06585153839921007,0.029679895575950917,0.06904771360019032,0.010122964002697375,0.06367491118190188,-0.07221189887775865,0.003049588077028702,0.010109746408894279,0.09743124103381572,0.10160068477579132,-0.5606613918172412,1.0,-0.027284578896474707,0.13379789217159532
req_soc_mean,-0.022267310838760466,-0.023686749423067272,-0.024414863942560528,-0.014675560199089515,-0.02249958862586734,-0.000845319386884235,-0.019775329913131575,0.012420260306285175,-0.007407642636974765,-0.001213215679169038,-0.041744189390710146,-0.09960712161910959,0.0439469539925076,-0.027284578896474707,1.0,-0.033885607768748896
peak_concurrency,0.9088088653509233,0.9035595329706904,0.9030768244618466,0.7063670636231582,0.8162986585968788,0.00439766238611273,0.8829490377753002,-0.5770314137955335,-0.008717416246613015,0.003452347257333833,0.9576087922674185,0.9467123533942645,-0.18745589657508394,0.13379789217159532,-0.033885607768748896,1.0
