,bl_peak_kw,bl_mean_kw,bl_energy_mwh,bl_load_factor,pv_energy_mwh,pv_capacity_factor,net_peak_kw,net_min_kw,wx_mean_temp_c,wx_mean_ghi,n_sessions,ev_energy_mwh,arr_hour_mean,dwell_h_mean,req_soc_mean,peak_concurrency
bl_peak_kw,1.0,0.9830388604893798,0.9817337229426367,0.7542029942854424,0.878413242750455,0.0037801936279462838,0.9608396138092785,-0.5964389656574093,-0.020618615334086716,0.0017488058820449243,0.9166396688900373,0.9055264400749635,-0.09038234272927415,0.06712963877859499,-0.02201895264195587,0.9087837210016217
bl_mean_kw,0.9830388604893798,1.0,0.9994312503818251,0.8315794329115962,0.857960719877536,-0.013693342150509274,0.9608607041140859,-0.5201518479603331,-0.03662213885197407,-0.015207626975482919,0.9116825818631384,0.9008703786907472,-0.08996044729000262,0.06538862357940559,-0.023419907317569284,0.9026538988142784
bl_energy_mwh,0.9817337229426367,0.9994312503818251,1.0,0.8328182114857955,0.8592467194882756,-0.009685884324107438,0.9576245433117255,-0.5184195302238186,-0.033446427488937426,-0.011264618442598857,0.9137216700333768,0.9028948420883591,-0.0899703478126442,0.06530255832616963,-0.02405542297231844,0.902127508117577
bl_load_factor,0.7542029942854424,0.8315794329115962,0.8328182114857955,1.0,0.6391767718206194,-0.03232346175924212,0.7610118026006543,-0.1359468672273383,-0.0324056248225296,-0.03058303612603166,0.7155536813664276,0.7060946964992963,-0.03556697318926336,0.02830707958583845,-0.014600608402952445,0.7069073663013288
pv_energy_mwh,0.878413242750455,0.857960719877536,0.8592467194882756,0.6391767718206194,1.0,0.441154195379608,0.7382240433419339,-0.7794236876838952,0.17654759228037017,0.4382266946998065,0.8186332524711493,0.809697236010759,-0.0917343729609136,0.06877882810733103,-0.02110157769375274,0.8128669149364182
pv_capacity_factor,0.0037801936279462838,-0.013693342150509274,-0.009685884324107438,-0.03232346175924212,0.441154195379608,1.0,-0.22429235422753663,-0.4642477818224788,0.4213568892850525,0.9968105935600287,0.002329192954445088,0.002637751086176651,-0.004796541392586606,0.009282901764759705,0.002253990563809011,0.006159315078215507
net_peak_kw,0.9608396138092785,0.9608607041140859,0.9576245433117255,0.7610118026006543,0.7382240433419339,-0.22429235422753663,1.0,-0.46463944074076363,-0.1242118246781223,-0.226941754532787,0.8852735212703222,0.8745696795638057,-0.08893470809101661,0.06365525110584028,-0.020193204575634886,0.8818223587671133
net_min_kw,-0.5964389656574093,-0.5201518479603331,-0.5184195302238186,-0.1359468672273383,-0.7794236876838952,-0.4642477818224788,-0.46463944074076363,1.0,-0.15318520586073203,-0.4530614190980307,-0.5478148641967691,-0.5426800325272223,0.09959584881767167,-0.07056951505710829,0.009790219373767742,-0.5519635744499453
wx_mean_temp_c,-0.020618615334086716,-0.03662213885197407,-0.033446427488937426,-0.0324056248225296,0.17654759228037017,0.4213568892850525,-0.1242118246781223,-0.15318520586073203,1.0,0.477813094070806,-0.012598434005599011,-0.011713870419080463,0.005267801077971979,0.00369819777643392,-0.005057707708072553,-0.01160660280031474
wx_mean_ghi,0.0017488058820449243,-0.015207626975482919,-0.011264618442598857,-0.03058303612603166,0.4382266946998065,0.9968105935600287,-0.226941754532787,-0.4530614190980307,0.477813094070806,1.0,0.0005063317142196562,0.0009351538179399302,-0.004478365337605281,0.009608356222648622,0.001314902125257314,0.004805142576893963
n_sessions,0.9166396688900373,0.9116825818631384,0.9137216700333768,0.7155536813664276,0.8186332524711493,0.002329192954445088,0.8852735212703222,-0.5478148641967691,-0.012598434005599011,0.0005063317142196562,1.0,0.9882985964041645,-0.14950553711387674,0.09743124103381572,-0.041744189390710146,0.9576087922674185
ev_energy_mwh,0.9055264400749635,0.9008703786907472,0.9028948420883591,0.7060946964992963,0.809697236010759,0.002637751086176651,0.8745696795638057,-0.5426800325272223,-0.011713870419080463,0.0009351538179399302,0.9882985964041645,1.0,-0.15432004778931016,0.10160068477579132,-0.09960712161910959,0.9467123533942645
arr_hour_mean,-0.09038234272927415,-0.08996044729000262,-0.0899703478126442,-0.03556697318926336,-0.0917343729609136,-0.004796541392586606,-0.08893470809101661,0.09959584881767167,0.005267801077971979,-0.004478365337605281,-0.14950553711387674,-0.15432004778931016,1.0,-0.5606613918172412,0.0439469539925076,-0.18745589657508394
dwell_h_mean,0.06712963877859499,0.06538862357940559,0.06530255832616963,0.02830707958583845,0.06877882810733103,0.009282901764759705,0.06365525110584028,-0.07056951505710829,0.00369819777643392,0.009608356222648622,0.09743124103381572,0.10160068477579132,-0.5606613918172412,1.0,-0.027284578896474707,0.13379789217159532
req_soc_mean,-0.02201895264195587,-0.023419907317569284,-0.02405542297231844,-0.014600608402952445,-0.02110157769375274,0.002253990563809011,-0.020193204575634886,0.009790219373767742,-0.005057707708072553,0.001314902125257314,-0.041744189390710146,-0.09960712161910959,0.0439469539925076,-0.027284578896474707,1.0,-0.033885607768748896
peak_concurrency,0.9087837210016217,0.9026538988142784,0.902127508117577,0.7069073663013288,0.8128669149364182,0.006159315078215507,0.8818223587671133,-0.5519635744499453,-0.01160660280031474,0.004805142576893963,0.9576087922674185,0.9467123533942645,-0.18745589657508394,0.13379789217159532,-0.033885607768748896,1.0
