parameter,region,n_source,n_generated,source_mean,generated_mean,ks
arrival hour,rare_consistent,2469,200,10.188759956797623,10.32625,0.06986229242608344
arrival hour,occasional_consistent,12010,9132,9.539510384864466,9.497508760402978,0.06235878773820769
arrival hour,regular_charger,12657,76230,8.519288162896247,8.470182342909615,0.05634426720422969
arrival hour,POOLED,27377,85562,9.137962472554008,8.584167036768658,0.1504418119277231
dwell (h),rare_consistent,2469,200,5.875670199360965,5.83625,0.04483799108950992
dwell (h),occasional_consistent,12010,9132,6.684219701174947,6.553274200613228,0.04962939702387004
dwell (h),regular_charger,12657,76230,7.228044977307243,7.08048668503214,0.07339642193226625
dwell (h),POOLED,27377,85562,6.848299840092859,7.021309109183983,0.07462573087653046
energy delivered (kWh),rare_consistent,2469,200,13.976562720062104,10.7587790423341,0.12805386796273796
energy delivered (kWh),occasional_consistent,12010,9132,15.247520524400962,12.567322454417285,0.10306734459493716
energy delivered (kWh),regular_charger,12657,76230,14.800173514173094,12.89433224511566,0.0732494633246642
energy delivered (kWh),POOLED,27377,85562,14.929953548051284,12.85443878716454,0.08734459243641268
required SoC at departure (%),rare_consistent,2469,200,68.28315032915297,59.749275614589294,0.24341838801134064
required SoC at departure (%),occasional_consistent,12010,9132,70.55516435900553,60.442392592192114,0.2497918401332223
required SoC at departure (%),regular_charger,12657,76230,70.83550531658993,56.57627870411978,0.2605987506093089
required SoC at departure (%),POOLED,27377,85562,70.46648705795432,56.99632441843186,0.24326989808963728
