parameter,region,n_source,n_generated,source_mean,generated_mean,ks
arrival hour,rare_consistent,2469,200,10.188759956797623,10.3625,0.06729445119481571
arrival hour,occasional_consistent,12010,9132,9.539510384864466,9.52299605781866,0.06378235322221992
arrival hour,regular_charger,12657,76230,8.519288162896247,8.488026367571821,0.057223186264966946
arrival hour,POOLED,27377,85562,9.137962472554008,8.60286984876464,0.1490977573240439
dwell (h),rare_consistent,2469,200,5.875670199360965,5.7975,0.049837991089509925
dwell (h),occasional_consistent,12010,9132,6.684219701174947,6.529812746386334,0.04831533657708953
dwell (h),regular_charger,12657,76230,7.228044977307243,7.06093401547947,0.07448523211198554
dwell (h),POOLED,27377,85562,6.848299840092859,7.0012943830204994,0.07400629701570438
energy delivered (kWh),rare_consistent,2469,200,13.976562720062104,13.108311417910175,0.06356014580801944
energy delivered (kWh),occasional_consistent,12010,9132,15.247520524400962,14.80959541109702,0.048541185017741406
energy delivered (kWh),regular_charger,12657,76230,14.800173514173094,14.41530942069983,0.053755331268313666
energy delivered (kWh),POOLED,27377,85562,14.929953548051284,14.45433632591183,0.04723323545128444
required SoC at departure (%),rare_consistent,2469,200,68.28315032915297,54.48522282158487,0.24341838801134064
required SoC at departure (%),occasional_consistent,12010,9132,70.55516435900553,52.201087151745114,0.3233036748832828
required SoC at departure (%),regular_charger,12657,76230,70.83550531658993,47.72092880543943,0.4243373578114684
required SoC at departure (%),POOLED,27377,85562,70.46648705795432,48.21490586092775,0.4006617682584387
