session_id,car_id,building_id,arrival,departure,duration_sec,arrival_soc,required_soc_at_depart,previous_day_external_use_soc
1,1,B001,2020-04-03 12:45:00,2020-04-03 18:29:32,20672,66.04886969028782,80.6116664262575,0.0
2,1,B001,2020-04-13 11:00:00,2020-04-13 15:58:29,17909,29.343502985840697,89.08771873773219,51.2681634404168
3,1,B001,2020-04-15 10:45:00,2020-04-15 16:43:53,21533,38.59335725668216,91.70499724598898,50.49436148105003
4,1,B001,2020-04-21 12:15:00,2020-04-21 15:32:22,11842,20.622249211080568,80.10800629786952,71.0827480349084
5,1,B001,2020-04-22 12:00:00,2020-04-22 14:03:46,7426,68.23285202615975,83.22806718815163,11.875154271709775
6,1,B001,2020-04-28 06:30:00,2020-04-28 08:35:12,7512,36.66743469238306,80.39330681748861,46.560632495768566
7,1,B001,2020-04-29 10:00:00,2020-04-29 13:39:00,13140,12.679804242436171,84.09821080428624,67.71350257505243
8,1,B001,2020-04-30 12:30:00,2020-04-30 16:03:10,12790,71.77606044435875,89.32391534551216,12.322150359927491
9,2,B001,2020-04-01 07:45:00,2020-04-01 16:44:27,32367,32.40168766096025,81.11383411812433,0.0
10,2,B001,2020-04-02 08:00:00,2020-04-02 20:13:37,44017,24.401252926273504,89.52143439196117,56.71258119185083
11,2,B001,2020-04-03 08:00:00,2020-04-03 12:12:57,15177,20.31951972211865,81.95580848639034,69.20191466984252
12,2,B001,2020-04-06 07:30:00,2020-04-06 20:48:13,47893,35.49353992230315,88.96838083183042,46.46226856408719
13,2,B001,2020-04-07 10:00:00,2020-04-07 21:08:32,40112,48.86168852946988,85.94526234302349,40.106692302360536
14,2,B001,2020-04-09 08:00:00,2020-04-09 17:28:20,34100,20.758638712234468,90.75453979428842,65.18662363078901
15,2,B001,2020-04-10 08:45:00,2020-04-10 12:37:50,13970,23.42974407576873,88.96890439109603,67.32479571851968
16,2,B001,2020-04-13 08:30:00,2020-04-13 16:00:23,27023,24.57564262537374,80.7888570469931,64.39326176572229
17,2,B001,2020-04-14 08:00:00,2020-04-14 17:05:46,32746,29.58065014151573,96.71003965053299,51.20820690547737
18,2,B001,2020-04-15 09:15:00,2020-04-15 14:30:11,18911,34.83800741418713,83.35231911123148,61.87203223634586
19,2,B001,2020-04-16 08:15:00,2020-04-16 13:40:57,19557,57.20448919470421,81.00519115071191,26.14782991652727
20,2,B001,2020-04-17 09:15:00,2020-04-17 14:16:31,18091,22.6461374749995,89.58262568036888,58.35905367571241
21,2,B001,2020-04-20 08:45:00,2020-04-20 17:44:13,32353,12.460630941854467,84.74763280822548,77.12199473851442
22,2,B001,2020-04-21 08:00:00,2020-04-21 19:15:46,40546,32.5573377023889,81.88129029309064,52.190295105836576
23,2,B001,2020-04-22 07:15:00,2020-04-22 11:30:48,15348,22.188680994248962,88.80198745907238,59.69260929884168
24,2,B001,2020-04-23 09:15:00,2020-04-23 12:46:38,12698,10.0,80.30332172354495,78.80198745907238
25,2,B001,2020-04-24 07:30:00,2020-04-24 18:37:20,40040,10.0,94.30923552728127,70.30332172354495
26,2,B001,2020-04-27 09:15:00,2020-04-27 18:57:06,34926,39.82218153053976,84.24302119890679,54.487053996741516
27,2,B001,2020-04-28 09:30:00,2020-04-28 17:00:06,27006,20.17245009739499,85.2639932282739,64.0705711015118
28,2,B001,2020-04-29 07:45:00,2020-04-29 19:07:15,40935,34.63819892708029,84.16095746771667,50.625794301193615
29,2,B001,2020-04-30 08:00:00,2020-04-30 19:54:41,42881,10.0,81.21732680649613,74.16095746771667
30,3,B001,2020-04-02 08:15:00,2020-04-02 14:30:59,22559,41.30929949742536,86.46103282042945,0.0
31,3,B001,2020-04-08 16:45:00,2020-04-08 21:06:43,15703,10.0,85.05491749342126,76.46103282042945
32,3,B001,2020-04-15 09:15:00,2020-04-15 12:28:23,11603,21.46606190251061,91.80585933865393,63.58885559091065
33,3,B001,2020-04-16 08:00:00,2020-04-16 18:46:06,38766,18.81121051740973,88.4386857143353,72.9946488212442
34,3,B001,2020-04-17 08:45:00,2020-04-17 12:36:15,13875,10.0,91.10404068390667,78.4386857143353
35,3,B001,2020-04-20 10:00:00,2020-04-20 14:47:04,17224,10.0,89.36146535903507,81.10404068390667
36,3,B001,2020-04-22 16:15:00,2020-04-22 20:32:40,15460,32.78506182334383,83.68617269441522,56.576403535691234
37,3,B001,2020-04-24 10:15:00,2020-04-24 14:43:45,16125,32.0515480407679,84.11670254170257,51.63462465364732
38,4,B001,2020-04-01 09:45:00,2020-04-01 15:09:59,19499,10.0,93.30043090368223,0.0
39,4,B001,2020-04-02 12:30:00,2020-04-02 20:29:16,28756,11.916855924589786,89.59400734933315,81.38357497909244
40,4,B001,2020-04-06 10:45:00,2020-04-06 14:40:30,14130,10.0,81.25775046044832,79.59400734933315
41,4,B001,2020-04-08 12:15:00,2020-04-08 18:47:59,23579,20.927976870503112,83.24736831874115,60.329773589945205
42,4,B001,2020-04-09 13:30:00,2020-04-09 14:38:50,4130,10.0,88.12421750092562,73.24736831874115
43,4,B001,2020-04-10 10:30:00,2020-04-10 14:13:34,13414,10.0,90.03898172138709,78.12421750092562
44,4,B001,2020-04-15 08:45:00,2020-04-15 11:28:54,9834,19.42633749416914,91.4288100982929,70.61264422721794
45,4,B001,2020-04-16 14:45:00,2020-04-16 15:48:04,3784,10.0,80.2085746582164,81.4288100982929
46,4,B001,2020-04-17 10:45:00,2020-04-17 12:49:23,7463,10.0,86.95981766385023,70.2085746582164
47,4,B001,2020-04-20 11:30:00,2020-04-20 19:43:57,29637,14.233812059833634,82.88894458461223,72.72600560401659
48,4,B001,2020-04-21 09:00:00,2020-04-21 16:44:52,27892,12.751045257836967,87.39657963971138,70.13789932677527
49,4,B001,2020-04-23 08:30:00,2020-04-23 14:17:57,20877,12.900535318314105,81.05245753742302,74.49604432139728
50,4,B001,2020-04-24 10:30:00,2020-04-24 13:18:19,10099,10.0,83.38527966241884,71.05245753742302
51,4,B001,2020-04-29 06:30:00,2020-04-29 14:22:26,28346,10.0,81.65179926028966,73.38527966241884
52,5,B001,2020-04-01 10:45:00,2020-04-01 15:19:53,16493,60.17386816603762,84.51145775099198,0.0
53,5,B001,2020-04-02 08:45:00,2020-04-02 12:07:59,12179,57.47293600526869,82.1628561004771,27.038521745723287
54,5,B001,2020-04-03 10:45:00,2020-04-03 11:58:54,4434,60.68499799671591,84.37676972115203,21.477858103761193
55,5,B001,2020-04-06 07:45:00,2020-04-06 20:00:00,44100,36.8916522138363,90.46553564857884,47.48511750731573
56,5,B001,2020-04-07 10:45:00,2020-04-07 14:02:39,11859,60.48461064501901,82.783647429734,29.980925003559825
57,5,B001,2020-04-08 09:00:00,2020-04-08 20:18:58,40738,58.92902487817936,90.39785349750314,23.85462255155464
58,5,B001,2020-04-09 11:00:00,2020-04-09 17:05:47,21947,75.43676859773495,82.86445486386938,14.961084899768181
59,5,B001,2020-04-10 11:15:00,2020-04-10 15:05:25,13825,43.69665471911406,82.79418787057335,39.167800144755326
60,5,B001,2020-04-13 08:15:00,2020-04-13 14:54:33,23973,53.041940620874406,85.86254039473964,29.752247249698947
61,5,B001,2020-04-15 10:45:00,2020-04-15 18:06:00,26460,68.08060251496632,89.39497442596159,17.781937879773324
62,5,B001,2020-04-16 11:15:00,2020-04-16 19:33:25,29905,63.507646636592,81.01588603909265,25.887327789369593
63,5,B001,2020-04-20 10:00:00,2020-04-20 13:34:44,12884,39.607703011455456,87.05883057783147,41.40818302763719
64,5,B001,2020-04-21 10:45:00,2020-04-21 14:05:25,12025,32.61868168223735,84.79173736555732,54.44014889559412
65,5,B001,2020-04-23 09:00:00,2020-04-23 13:08:41,14921,44.33834923678356,87.35680475993625,40.45338812877377
66,5,B001,2020-04-24 08:00:00,2020-04-24 16:33:20,30800,48.253206370758384,87.72412827191674,39.10359838917787
67,5,B001,2020-04-27 11:00:00,2020-04-27 15:07:44,14864,49.31493498783248,92.45341779136868,38.40919328408426
68,5,B001,2020-04-29 10:15:00,2020-04-29 13:17:09,10929,53.125613303672296,81.06713436253955,39.32780448769638
69,5,B001,2020-04-30 09:15:00,2020-04-30 21:14:12,43152,52.82920998676908,89.04561589305251,28.23792437577047
70,6,B001,2020-04-01 11:00:00,2020-04-01 11:48:06,2886,71.75513508723027,82.24033165325332,0.0
71,6,B001,2020-04-02 07:30:00,2020-04-02 10:22:53,10373,41.37165896124936,85.33700662541621,40.86867269200396
72,6,B001,2020-04-03 11:30:00,2020-04-03 17:09:05,20345,28.01905850019879,92.9402135247819,57.31794812521742
73,6,B001,2020-04-06 11:30:00,2020-04-06 13:48:41,8321,51.705081416292785,85.46205791413341,41.23513210848911
74,6,B001,2020-04-08 08:00:00,2020-04-08 19:23:07,40987,68.26125897110366,84.6727943328456,17.200798943029753
75,6,B001,2020-04-10 09:15:00,2020-04-10 11:36:08,8468,48.76116029390277,80.81352424791007,35.91163403894283
76,6,B001,2020-04-13 11:30:00,2020-04-13 16:26:22,17782,49.60311606251547,88.0294357990463,31.2104081853946
77,6,B001,2020-04-15 12:00:00,2020-04-15 16:29:55,16195,54.30162585408007,87.76281070560094,33.727809944966225
